Student_ID,Gender,Age,Semester,Study_Hours_Per_Day,Assignment_Load,Sleep_Hours,Attendance_Percentage,Screen_Time_Hours,Caffeine_Intake,Extracurricular_Hours,Exam_Pressure,Financial_Stress,Social_Support,Stress_Level
0,1,18.0,5.0,6.0,4.0,6.3,79.0,8.3,1.0,5.0,2.0,9.0,2.0,2
1,0,18.0,1.0,8.0,2.0,6.1,78.0,6.5,1.0,4.0,10.0,1.0,9.0,1
2,1,23.0,7.0,8.2,4.0,7.7,93.0,6.1,4.0,2.0,1.0,3.0,7.0,1
3,0,20.0,3.0,6.1,4.0,5.8,86.0,6.1,0.0,0.0,7.0,2.0,6.0,2
4,0,22.0,5.0,5.5,1.0,3.6,94.0,3.6,4.0,0.0,7.0,2.0,9.0,1
5,0,24.0,6.0,3.9,10.0,5.0,77.0,7.6,5.0,0.0,1.0,4.0,5.0,2
6,1,24.0,4.0,3.2,2.0,4.4,89.0,9.9,2.0,3.0,6.0,3.0,6.0,1
7,0,19.0,5.0,4.5,2.0,6.6,75.0,4.2,4.0,5.0,4.0,3.0,8.0,1
8,0,20.0,4.0,3.9,6.0,6.7,68.0,4.7,1.0,0.0,6.0,7.0,5.0,2
9,1,19.0,6.0,5.8,4.0,5.6,96.0,6.4,3.0,5.0,8.0,3.0,5.0,2
10,1,19.0,5.0,3.8,10.0,9.0,92.0,7.0,4.0,3.0,6.0,4.0,3.0,2
11,0,18.0,1.0,2.9,2.0,7.7,74.0,4.6,5.0,1.0,7.0,10.0,2.0,2
12,0,21.0,8.0,5.4,9.0,3.6,81.0,4.3,4.0,0.0,2.0,9.0,5.0,0
13,0,18.0,5.0,5.4,7.0,7.6,75.0,7.3,3.0,0.0,5.0,9.0,3.0,0
14,1,24.0,5.0,4.8,9.0,6.0,77.0,4.0,1.0,2.0,3.0,9.0,9.0,2
15,1,22.0,6.0,3.6,8.0,5.8,66.0,9.1,0.0,2.0,5.0,4.0,1.0,0
16,1,22.0,2.0,5.7,2.0,3.9,96.0,7.6,0.0,4.0,3.0,3.0,8.0,1
17,1,20.0,7.0,4.2,4.0,5.5,99.0,8.2,5.0,5.0,4.0,5.0,7.0,2
18,0,21.0,8.0,7.1,2.0,7.9,80.0,5.3,1.0,0.0,6.0,1.0,10.0,1
19,1,22.0,4.0,4.4,1.0,7.0,69.0,9.0,5.0,5.0,1.0,4.0,2.0,1
20,1,24.0,6.0,4.0,2.0,6.2,97.0,4.8,1.0,2.0,8.0,4.0,9.0,1
21,1,23.0,8.0,2.6,4.0,7.7,95.0,9.7,3.0,1.0,2.0,2.0,7.0,1
22,0,21.0,7.0,4.9,8.0,8.0,68.0,7.7,5.0,5.0,2.0,1.0,7.0,1
23,0,24.0,2.0,3.7,4.0,7.0,77.0,10.1,1.0,4.0,8.0,3.0,7.0,2
24,1,20.0,8.0,4.9,4.0,8.8,69.0,2.0,3.0,4.0,2.0,1.0,9.0,1
25,1,18.0,4.0,6.6,3.0,6.6,91.0,6.4,3.0,3.0,4.0,7.0,1.0,2
26,1,21.0,1.0,5.2,7.0,3.5,81.0,6.6,3.0,2.0,7.0,9.0,8.0,0
27,1,19.0,5.0,5.7,4.0,8.7,68.0,6.0,4.0,5.0,9.0,1.0,6.0,1
28,1,18.0,8.0,3.4,9.0,5.7,98.0,8.8,1.0,0.0,9.0,2.0,3.0,0
29,1,22.0,2.0,5.7,4.0,5.7,90.0,8.0,0.0,4.0,4.0,10.0,10.0,2
